Age,Gender,CivilStatus,Nationality,Education,StayLength,Industry,Tenure,Role,Income,POS_Recog_1,POS_Recog_2,POS_Recog_3,POS_Recog_4,POS_Recog_5,POS_Sup_1,POS_Sup_2,POS_Sup_3,POS_Sup_4,POS_Sup_5,POS_Cond_1,POS_Cond_2,POS_Cond_3,POS_Cond_4,POS_Cond_5,POS_Fair_1,POS_Fair_2,POS_Fair_3,POS_Fair_4,POS_Fair_5,ES_Int_1,ES_Int_2,ES_Int_3,ES_Int_4,ES_Int_5,ES_Ext_1,ES_Ext_2,ES_Ext_3,ES_Ext_4,ES_Ext_5,POS_Total_Mean,ES_Total_Mean,POS_Group
40 and above,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",3,4,3,3,3,5,3,3,4,3,3,3,4,4,5,4,4,4,3,4,3,3,3,3,3,4,3,3,3,3,3.6,3.1,Moderate Support
30 - 34 years old,Female,Single,New Zealander / New Zealand,Master's Degree,3 - 4 years,Hospitality / Tourism,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",3,3,2,3,1,3,1,3,3,2,2,1,3,3,3,2,4,4,3,4,1,4,4,3,5,5,5,2,2,4,2.65,3.5,Low Support
30 - 34 years old,Female,Single,Chinese / China,Master's Degree,3 - 4 years,Information Technology,Less than 6 months,Executive Level (Top level of Leadership),"$2,001 - $3,000",1,4,4,4,4,4,3,2,3,3,4,3,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,3,3.4,3.9,Low Support
25 - 29 years old,Male,Single,Nepal,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.95,4.0,Moderate Support
40 and above,Female,Single,Chinese / Malaysia ,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
40 and above,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3,4,3.0,3.5,Low Support
35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Others (please specify),3 - 4 years,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.95,4.0,Moderate Support
30 - 34 years old,Female,Married,Bangladeshi ,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4.0,4.1,Moderate Support
30 - 34 years old,Male,Single,Indian / India,Master's Degree,5 years and above,Hospitality / Tourism,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3.7,3.7,Moderate Support
20 - 24 years old,Female,Married,Indian / India,Bachelor's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
30 - 34 years old,Male,Single,Bhutan,Bachelor's Degree,1 - 2 years,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
35 - 39 years old,Male,Married,Bhutanese ,Bachelor's Degree,3 - 4 years,Hospitality / Tourism,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
35 - 39 years old,Female,Married,Filipino / Philippines,Master's Degree,5 years and above,Business / Finance,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
25 - 29 years old,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,1 - 2 years,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,5,4,4,4,4,5,4,5,4,3,5,4,4,5,4,4,4,4,4,4,3,4,4,4.15,4.0,High Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Others (please specify),2 -3 years,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",3,2,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.85,4.0,Moderate Support
40 and above,Female,Married,Chinese / China,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",4,4,5,5,3,4,5,4,5,5,4,4,3,3,4,3,4,5,4,4,3,4,4,5,4,5,4,3,4,4,4.1,4.0,High Support
30 - 34 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,6 months to 1 year,Executive Level (Top level of Leadership),"$4,0001 - $5,000",3,1,4,4,5,1,2,3,3,3,1,5,5,3,4,2,2,5,4,4,1,3,1,2,2,1,2,3,2,2,3.2,1.9,Low Support
35 - 39 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,4,3,5,2,5,2,4,4,3,2,4,3,3,5,2,4,4,4,3,3,3,3,4,4,2,2,5,1,2,3.45,2.9,Low Support
35 - 39 years old,Male,Married,Sri Lankan / Sri Lanka,Doctorate Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3.0,4.0,Low Support
35 - 39 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",4,5,4,5,3,4,5,3,4,5,4,4,5,5,4,3,4,5,4,5,4,3,5,4,5,4,5,4,4,4,4.25,4.2,High Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",4,4,4,4,4,4,3,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3.95,3.9,Moderate Support
25 - 29 years old,Female,Married,Nepal,Master's Degree,Less than 1 year,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3.15,3.1,Low Support
40 and above,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,Executive Level (Top level of Leadership),"$2,001 - $3,000",3,3,4,4,3,4,4,4,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,4,4,3.65,3.8,Moderate Support
30 - 34 years old,Female,Married,New Zealander / New Zealand,Doctorate Degree,1 - 2 years,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
35 - 39 years old,Female,Single,Mongolia,Master's Degree,Less than 1 year,Others (please specify),4 years and above,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",4,2,3,4,3,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
30 - 34 years old,Male,Single,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",3,3,3,3,3,4,3,4,4,3,4,3,3,2,3,2,2,2,2,3,3,4,4,4,4,3,3,4,3,3,2.95,3.5,Low Support
40 and above,Male,Married,Indonesian,Master's Degree,Less than 1 year,Others (please specify),4 years and above,Executive Level (Top level of Leadership),"Above $5,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Healthcare,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",3,3,4,5,5,4,4,3,3,3,3,3,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,5,5,4.0,4.2,Moderate Support
40 and above,Male,Single,Latin,Master's Degree,1 - 2 years,Others (please specify),2 -3 years,Executive Level (Top level of Leadership),"$4,0001 - $5,000",5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,2,2,3,3,3,2,2,3,1,2,3,2.95,2.4,Low Support
30 - 34 years old,Female,Single,European,Master's Degree,3 - 4 years,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",3,5,3,3,3,4,4,5,4,3,2,3,4,5,5,3,1,2,4,1,2,4,4,1,1,3,3,3,1,1,3.35,2.3,Low Support
35 - 39 years old,Female,Married,Brazil,Bachelor's Degree,Less than 1 year,Education,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",4,4,4,3,3,3,4,4,4,3,4,3,3,2,3,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,3.45,3.9,Low Support
35 - 39 years old,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Others,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",4,3,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,3,3,4,3,3,4,3,3.7,3.4,Moderate Support
30 - 34 years old,Female,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Business / Finance,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",4,4,3,4,4,5,4,4,5,5,5,4,5,5,4,4,4,4,4,5,4,5,5,5,5,4,3,4,4,4,4.3,4.3,High Support
30 - 34 years old,Female,Single,Chinese / China,Bachelor's Degree,Less than 1 year,Education,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",3,2,2,3,3,4,3,3,4,4,3,2,3,3,4,3,3,3,4,3,3,4,3,4,3,3,5,4,4,4,3.1,3.7,Low Support
20 - 24 years old,Male,Single,New Zealander / New Zealand,Bachelor's Degree,1 - 2 years,Education,6 months to 1 year,Executive Level (Top level of Leadership),"Above $5,000",3,5,2,4,5,3,4,4,4,4,3,5,4,5,4,3,4,3,2,3,4,5,5,5,4,4,4,4,4,4,3.7,4.3,Moderate Support
25 - 29 years old,Male,Married,Indian / India,Bachelor's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",5,1,2,4,3,4,5,3,1,3,1,2,4,3,3,3,4,3,2,4,4,3,4,4,5,2,3,4,4,4,3.0,3.7,Low Support
20 - 24 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
20 - 24 years old,Male,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4.0,4.1,Moderate Support
20 - 24 years old,Female,Single,Chinese / China,Bachelor's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,3,3,4,4,3,4,4,4,3,3,3,5,5,4,3,4,4,3,3,5,3,3,4,3,3,4,4,4,4,3.6,3.7,Moderate Support
40 and above,Female,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Others,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",3,3,3,3,3,2,3,4,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3.2,3.4,Low Support
30 - 34 years old,Female,Single,Thai,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",4,4,3,3,3,5,4,4,4,4,3,2,3,3,3,5,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3.5,3.1,Moderate Support
30 - 34 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Business / Finance,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3.6,3.9,Moderate Support
25 - 29 years old,Male,Single,Indian / India,Others,1 - 2 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
30 - 34 years old,Female,Married,Nepal,Bachelor's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4.45,4.0,High Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,Less than 1 year,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",2,3,4,4,4,4,3,3,3,4,4,4,3,2,3,3,3,3,3,3,4,3,3,4,4,3,3,3,4,4,3.25,3.5,Low Support
35 - 39 years old,Female,Married,Sri Lanka ,Bachelor's Degree,Less than 1 year,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",2,2,2,2,4,3,2,2,2,2,2,4,4,3,2,1,1,1,1,1,1,4,4,4,3,4,2,1,1,4,2.15,2.8,Low Support
35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,4,3,3,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3.25,2.9,Low Support
25 - 29 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",3,3,4,3,3,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3.2,3.1,Low Support
30 - 34 years old,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,3,3,3.65,3.6,Moderate Support
40 and above,Female,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,4,3,3,3,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,5,5,5,4,4,3,3,3,3,3,3.6,3.8,Moderate Support
25 - 29 years old,Female,Single,Indian / India,Bachelor's Degree,1 - 2 years,Information Technology,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,3,3,4,3,4,4,4,3,3,4,3,4,4,4,3,4,3,3,4,3,4,3,4,3,4,4,4,4,3.55,3.7,Moderate Support
20 - 24 years old,Male,Single,Indian / India,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
25 - 29 years old,Male,Single,Chinese / China,Others,Less than 1 year,Education,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",1,2,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2.3,2.8,Low Support
40 and above,Female,Married,South Korea,Master's Degree,1 - 2 years,Healthcare,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",4,4,4,4,4,5,5,5,5,4,4,3,4,3,3,4,4,4,4,4,3,4,4,4,5,5,5,5,4,4,4.05,4.3,High Support
30 - 34 years old,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,3,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4.05,3.9,High Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4.35,4.0,High Support
25 - 29 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,3,4,4,4,4,4,4,4,2,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,2,3,4,3.85,3.7,Moderate Support
20 - 24 years old,Male,Single,Latin,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,4,4,3,3,4,4,4,3,3,3,4,4,3,4,4,5,3,2,2,3,2,3,4,4,3,4,4,4,4,3.45,3.5,Low Support
20 - 24 years old,Female,Single,nepalese,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",2,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,2.55,3.4,Low Support
30 - 34 years old,Male,Single,New Zealander / New Zealand,Master's Degree,3 - 4 years,Healthcare,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",2,3,4,3,3,4,4,3,3,4,2,3,3,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,2,4,3.2,3.7,Low Support
30 - 34 years old,Female,Married,Nepalese ,Master's Degree,1 - 2 years,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.15,3.0,Low Support
25 - 29 years old,Female,Married,nepal,Master's Degree,3 - 4 years,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,3,3,3,3,2,4,3,3,2,2,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3.0,2.8,Low Support
25 - 29 years old,Female,Married,Indian / India,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,Executive Level (Top level of Leadership),"$2,001 - $3,000",2,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,5,4,4,4,4,5,5,2,4,4,5,3.85,4.1,Moderate Support
25 - 29 years old,Male,Widow/Widower,Chinese / China,Master's Degree,3 - 4 years,Business / Finance,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",5,3,3,3,3,3,4,4,1,2,3,3,3,4,4,3,4,5,4,3,2,3,3,3,3,4,4,4,3,3,3.35,3.2,Low Support
25 - 29 years old,Female,Single,Chinese / China,Bachelor's Degree,Less than 1 year,Education,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
20 - 24 years old,Male,Married,Chinese / China,Master's Degree,5 years and above,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",1,2,3,4,5,5,4,2,3,4,2,4,5,4,4,3,3,4,4,3,3,4,4,4,5,4,3,3,4,4,3.45,3.8,Low Support
40 and above,Female,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Information Technology,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",2,3,4,4,3,4,3,4,4,3,4,3,4,2,2,3,4,4,4,2,2,3,4,4,3,2,4,3,4,3,3.3,3.2,Low Support
40 and above,Male,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Information Technology,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",1,1,3,3,1,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3.1,4.0,Low Support
25 - 29 years old,Male,Single,Malaysia,Master's Degree,3 - 4 years,Others,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",2,3,2,3,2,2,2,3,3,3,3,3,3,3,4,3,2,3,3,4,2,2,2,2,2,2,2,2,2,4,2.8,2.2,Low Support
25 - 29 years old,Female,Single,Indian / India,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,Executive Level (Top level of Leadership),"$4,0001 - $5,000",1,1,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,2,4,4,4,5,5,5,5,3,4,4,4,4,3.4,4.3,Low Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4.0,3.9,Moderate Support
40 and above,Female,Married,Taiwan,Master's Degree,1 - 2 years,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",3,3,4,4,4,4,4,5,4,5,3,3,4,4,4,4,4,3,3,4,3,3,3,4,3,3,3,4,4,3,3.8,3.3,Moderate Support
30 - 34 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",3,2,4,2,3,4,2,2,2,4,2,4,5,5,5,5,5,2,4,5,3,4,5,4,5,2,4,4,4,5,3.5,4.0,Moderate Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.9,3.0,Low Support
35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Information Technology,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",4,5,4,4,4,4,4,5,4,4,5,4,5,4,4,5,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4.3,4.1,High Support
40 and above,Female,Single,Filipino / Philippines,Master's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,5,4,4,4,4,4,2,3,4,5,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,3.85,3.8,Moderate Support
35 - 39 years old,Male,Married,Bhutanese / Bhutan,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,5,4,5,4,4,4,4,3,4,4,5,4,4,5,4,4,4,4,4,5,4,4,4,4,3,2,4,4,4.15,3.8,High Support
25 - 29 years old,Female,Married,Sri Lankan / Sri Lanka,Others,Less than 1 year,Business / Finance,4 years and above,Executive Level (Top level of Leadership),"Below $2,000",5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.1,4.0,High Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,3 - 4 years,Education,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",2,2,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.7,4.0,Moderate Support
25 - 29 years old,Female,Single,Thai,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,4,2,2,3,4,4,4,3,4,3,3,4,4,2,3,4,4,2,3,3,3.15,3.2,Low Support
25 - 29 years old,Female,Single,Vietnamese,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,4,5,5,5,5,5,3,4,5,3,5,5,5,5,3,3,5,3,5,5,3,4,4,5,2,3,4,4.3,3.8,High Support
