Timestamp,Do you agree to participate in this Research?,Please select your age range.,Gender,Civil Status,Nationality/Country of Origin,Highest Educational Attainment,Length of Stay in New Zealand,Type of Job Industry,Tenure in Current Organization,Role / Position,Monthly Income (NZD),My employer ensures that my contributions in the company are appreciated and recognized.  ,I am highly valued by my supervisors; all my outputs are given high regard and appreciation. ,I am regularly rewarded when I meet work targets and deadlines on time. ,"I am confident that my inputs in the organization are as much appreciated as that of my colleagues, and this is what is encouraging me to keep delivering my best.",My employer is open and respectful of my ideas and guarantees that my inputs are meaningful to the improvement of the organization.,My supervisor is always accessible when I need assistance regarding work or performance. ,"I am heard when I communicate my concerns and suggestions, and they consider my contributions. ",I am motivated to deal with challenging work to improve my organizational skills and be open to various opportunities at work. ,I am encouraged to perform at my best when confronted with challenges in the workplace.,I am encouraged to join a professional development opportunity to expand my potential and organizational skills. ,I am provided with the adequate tools and resources to do my job effectively. ,I feel my workload is reasonable and manageable because of the assurance of quality working conditions. ,My workplace ensures that I work in a healthy environment that is free from toxicity and unnecessary distractions. ,I am encouraged to be independent and exercise autonomy in relation to my work tasks without much supervision. ,I enjoy working in a systematic and highly organized environment where I can work with ease and ensure goal attainment. ,I experience fair treatment in my workplace regardless of my background or my nationality.,I have experienced consistent enforcement of organizational policies on all employees.,I attest that the promotion and reward systems given to all employees are transparent and free of bias.,I witness how the organization promotes diversity and inclusion in the workplace all the time. ,I find that disputes are supposed to be resolved in a fair and impartial manner.,I am happy about how meaningful my work is.,I am capable of efficient application of my skills and knowledge in my work.,I also achieve self-improvement and maturity at work.,I am passionate and inspired in what I do.,I feel accomplished and gratified with my work.,I am satisfied with the compensation and benefits programs of the company. ,I feel secure at the job I hold.,I am offered the chance of promotion and career development.,I am satisfied that the demands of the work environment and time reflect my personal and professional requirements.,I think the organization rewards performance and effort adequately.,Do you meet all of the eligibility criteria to participate in this survey?,Column 42
1/7/2026 19:29:01,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Chinese / China,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:33:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/7/2026 19:33:34,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,6 months to 1 year,Executive Level (Top level of Leadership),"$4,0001 - $5,000",Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:34:16,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Neutral,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly disagree,Disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:34:48,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Male,Married,Sri Lankan / Sri Lanka,Doctorate Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:34:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/7/2026 19:35:05,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:36:02,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:36:07,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Nepal,Master's Degree,Less than 1 year,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:37:15,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:37:25,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,Executive Level (Top level of Leadership),"$2,001 - $3,000",Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:37:46,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,New Zealander / New Zealand,Doctorate Degree,1 - 2 years,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:37:54,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Single,Mongolia,Master's Degree,Less than 1 year,Others (please specify),4 years and above,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",Agree,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:38:21,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:38:38,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Male,Single,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:39:49,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Indonesian,Master's Degree,Less than 1 year,Others (please specify),4 years and above,Executive Level (Top level of Leadership),"Above $5,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 19:40:58,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Healthcare,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 20:03:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/7/2026 20:05:48,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Single,Latin,Master's Degree,1 - 2 years,Others (please specify),2 -3 years,Executive Level (Top level of Leadership),"$4,0001 - $5,000",Strongly Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 20:09:04,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Single,European,Master's Degree,3 - 4 years,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",Neutral,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Disagree,Neutral,Agree,Strongly agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly disagree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/7/2026 20:09:33,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Brazil,Bachelor's Degree,Less than 1 year,Education,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 6:21:07,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Others,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 13:25:23,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Business / Finance,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 13:33:18,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Single,Chinese / China,Bachelor's Degree,Less than 1 year,Education,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 13:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/8/2026 14:19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/8/2026 14:21:15,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Male,Single,New Zealander / New Zealand,Bachelor's Degree,1 - 2 years,Education,6 months to 1 year,Executive Level (Top level of Leadership),"Above $5,000",Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 14:21:32,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Married,Indian / India,Bachelor's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Strongly Agree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 14:23:53,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 14:38:41,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Male,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 14:44:29,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Female,Single,Chinese / China,Bachelor's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 14:54:55,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Others,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 15:15:45,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Single,Thai,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 16:32:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/8/2026 16:37:56,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Business / Finance,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 16:46:33,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Single,Indian / India,Others,1 - 2 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 16:47:25,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Nepal,Bachelor's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 16:54:12,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 16:55:24,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Single,Indian / India,Master's Degree,Less than 1 year,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 16:56:42,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Sri Lanka ,Bachelor's Degree,Less than 1 year,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 16:58:56,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 16:59:02,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 16:59:17,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 16:59:54,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:00:41,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Indian / India,Bachelor's Degree,1 - 2 years,Information Technology,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:02:43,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Male,Single,Indian / India,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:06:46,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Single,Chinese / China,Others,Less than 1 year,Education,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
