respondent_number,date,pab1,pab2,pab3,pab4,pab5,pab6,pab7,mean_pab,ordinal_pab,hsa1,hsa2,hsa3,hsa4,hsa5,hsa6,hsa7,mean_hsa,ordinal_hsa,irs1,irs2,irs3,irs4,irs5,irs6,irs7,mean_irs,ordinal_irs,vh1,vh2,vh3,vh4,vh5,mean_vh,ordinal_vh,pab2_raw,pab3_raw,pab5_raw,pab6_raw,pab7_raw,hsa3_raw,vh2_raw,pab_score,hsa_score,irs_score,vh_score
R136,2026-02-08,4.0,5.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,3.29,3.0,4.0,5.0,5.0,4.0,5.0,3.8,4.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,3.5714285714285716,4.0,3.2857142857142856,4.6
R137,2026-02-08,5.0,5.0,2.0,5.0,4.0,2.0,2.0,3.57,4.0,5.0,5.0,1.0,4.0,4.0,5.0,3.0,4.43,5.0,2.0,5.0,4.0,5.0,5.0,4.0,2.0,3.86,4.0,5.0,3.0,5.0,4.0,5.0,4.4,5.0,1.0,4.0,2.0,4.0,4.0,5.0,3.0,3.5714285714285716,3.857142857142857,3.857142857142857,4.4
R138,2026-02-08,5.0,5.0,2.0,5.0,5.0,4.0,4.0,2.86,3.0,2.0,5.0,5.0,2.0,4.0,5.0,5.0,3.43,4.0,2.0,3.0,5.0,5.0,5.0,3.0,1.0,3.43,4.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,4.285714285714286,4.0,3.4285714285714284,5.0
R139,2026-02-09,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.29,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.86,4.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,4.4,5.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,2.7142857142857144,3.857142857142857,3.0,4.8
R140,2026-02-09,4.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.14,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.86,4.0,3.0,2.0,5.0,5.0,5.0,4.4,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,2.5714285714285716,3.5714285714285716,3.857142857142857,4.0
R141,2026-02-09,4.0,5.0,5.0,3.0,2.0,3.0,2.0,2.86,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.14,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.43,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,3.4285714285714284,3.7142857142857144,3.4285714285714284,4.8
R142,2026-02-09,5.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,3.14,3.0,3.0,5.0,4.0,2.0,2.0,3.0,1.0,2.86,3.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,1.0,3.0,3.0,1.0,3.0,5.0,1.0,4.142857142857143,2.5714285714285716,2.857142857142857,5.0
R143,2026-02-09,4.0,4.0,2.0,5.0,4.0,4.0,2.0,3.29,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.14,3.0,5.0,4.0,5.0,5.0,5.0,4.4,5.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,3.5714285714285716,4.0,3.142857142857143,4.8
R144,2026-02-09,5.0,1.0,3.0,5.0,3.0,1.0,2.0,4.29,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,4.86,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.86,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,1.0,2.857142857142857,4.285714285714286,4.857142857142857,4.8
R145,2026-02-09,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.14,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,3.29,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.4285714285714284,4.0,3.2857142857142856,4.4
R146,2026-02-09,5.0,5.0,4.0,2.0,4.0,3.0,2.0,2.71,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.4,5.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0,3.5714285714285716,4.0,4.0,4.0
R147,2026-02-09,4.0,4.0,2.0,3.0,4.0,2.0,2.0,3.29,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.86,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,3.0,3.7142857142857144,3.857142857142857,4.8
R148,2026-02-09,5.0,5.0,1.0,5.0,4.0,4.0,2.0,3.43,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.71,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.71,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,2.0,2.0,4.0,2.0,4.0,3.7142857142857144,4.0,3.7142857142857144,3.6
R149,2026-02-09,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.142857142857143,4.428571428571429,5.0,4.4
R150,2026-02-09,4.0,5.0,3.0,5.0,2.0,2.0,2.0,3.57,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.57,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,3.14,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,3.2857142857142856,3.857142857142857,3.142857142857143,4.8
